Enclosure,Vole ID,Northing,Easting
LD,C01EB48,4378311.539,695605.34
LD,C01EB48,4378310.36,695608.209
LD,C01EB48,4378314.034,695607.733
LD,C01EB48,4378312.778,695607.519
LD,C01EB48,4378308.48,695607.114
LD,C01EB48,4378315.383,695600.953
LD,C01EB48,4378321.732,695600.814
LD,C01EB48,4378321.382,695606.514
LD,C01EB48,4378312.886,695609.306
LD,C01EB45,4378319.798,695604.758
LD,C01EB45,4378331.464,695608.628
LD,C01EB45,4378332.172,695603.204
LD,C01EB45,4378332.592,695608.581
LD,C01EB45,4378332.895,695607.41
LD,C01EB45,4378333.273,695608.068
LD,C01EB45,4378332.622,695607.638
LD,C01EB45,4378332.133,695608.031
LD,C01EB42,4378326.507,695607.543
LD,C01EB42,4378333.575,695603.618
LD,C01EB42,4378332.387,695609.037
LD,C01EB42,4378321.229,695607.776
LD,C01EB42,4378328.4,695607.49
LD,C01EB42,4378332.447,695608.198
LD,C01EB42,4378331.376,695597.188
LD,C01EB42,4378334.305,695603.921
LD,C01EB42,4378333.231,695602.587
LD,C01EB42,4378335.107,695599.422
LD,C01EB42,4378331.013,695608.974
LD,C01EB42,4378332.503,695609.679
LD,C01EB42,4378334.918,695604.761
LD,C01EB42,4378331.789,695600.106
LD,C01EB42,4378330.224,695602.527
LD,C01EB42,4378328.686,695603.46
LD,C01EB42,4378334.198,695604.45
LD,C01EB42,4378334.058,695605.371
LD,C01EB42,4378333.708,695605.961
LD,C01EB42,4378333.919,695604.95
LD,C01EB42,4378334.538,695608.716
LD,C01EB42,4378332.516,695605.078
LD,C01EB42,4378329.737,695603.748
LD,C01EB42,4378334.509,695608.938
LD,C01EB3E,4378321.258,695580.113
LD,C01EB3E,4378319.624,695582.097
LD,C01EB3E,4378322.462,695587.715
LD,C01EB3E,4378322.01,695582.579
LD,C01EB3E,4378322.598,695584.128
LD,C01EB3E,4378324.929,695584.43
LD,C01EB3E,4378321.426,695583.612
LD,C01EB3E,4378322.041,695581.176
LD,C01EB3E,4378324.286,695584.891
